Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-138.001000,-101.000920,90.000000,bottom
"C2","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-136.001000,-101.000920,90.000000,bottom
"C3","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-130.001000,-101.000920,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-130.001000,-93.000920,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-147.251000,-101.000920,90.000000,bottom
"P1","CF_EXP_LEFT","CF2-DECK-SMD-HOLES",-139.001000,-86.000920,180.000000,bottom
"P2","CF_EXP_RIGHT","CF2-DECK-SMD-HOLES",-139.001000,-108.000920,180.000000,bottom
"R1","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-140.501000,-93.000920,90.000000,bottom
"R2","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-138.501000,-93.000920,90.000000,bottom
"R3","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-141.251000,-101.000920,90.000000,bottom
"U1","LP2985-3.0","SOT-23-5_HandSoldering",-133.001000,-101.000920,270.000000,bottom
"U2","PCA9536D","SOIC-8_3.9x4.9mm_P1.27mm",-134.001000,-93.000920,270.000000,bottom
"U3","DS2484","SOT-23-6_Handsoldering",-144.251000,-101.000920,270.000000,bottom
